"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"15090003",99.98,97.58,91.68,64.52,60.77,51.77,26.90,8.22,0.00,0.00,99.98,97.58,91.68,64.52,60.77,51.77,26.90,8.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090007",96.97,96.97,96.97,96.97,96.71,89.49,74.48,40.51,0.00,0.00,96.97,96.97,96.97,96.97,96.71,89.49,74.48,40.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090008",96.00,90.00,67.30,55.76,44.23,30.52,12.11,0.00,0.00,0.00,96.00,90.00,67.30,55.76,44.23,30.52,12.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090010",90.56,90.56,90.56,90.56,90.37,84.92,64.74,47.32,0.00,0.00,90.56,90.56,90.56,90.56,90.37,84.92,64.74,47.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090070",90.43,89.98,88.38,85.90,83.07,81.24,65.53,37.41,0.00,0.00,90.43,89.98,88.38,85.90,83.07,81.24,65.53,37.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090135",89.48,83.04,83.04,81.05,79.19,79.19,75.65,44.69,0.00,0.00,89.48,83.04,83.04,81.05,79.19,79.19,75.65,44.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090180",97.20,96.79,94.66,90.62,85.65,81.06,71.50,50.04,0.00,0.00,97.20,96.79,94.66,90.62,85.65,81.06,71.50,50.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090220",96.64,96.64,96.64,94.42,91.54,59.35,50.86,0.00,0.00,0.00,96.64,96.64,96.64,94.42,91.54,59.35,50.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090225",98.90,98.90,98.89,94.37,93.35,91.16,82.70,69.99,69.99,0.00,98.87,98.87,98.86,92.53,90.72,88.05,72.53,35.24,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,0.00,0.00,0.00,0.00,0.00
"15090245",100.00,100.00,78.07,71.59,69.35,67.17,51.86,30.06,0.00,0.00,100.00,100.00,78.07,71.59,69.35,67.17,51.86,30.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090270",90.86,90.86,90.86,90.86,87.57,87.57,69.38,47.32,0.00,0.00,90.86,90.86,90.86,90.86,87.57,87.57,69.38,47.32,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.00,0.00,0.00,0.00,0.00,0.00
"15090285",67.61,67.61,67.61,65.86,65.86,65.43,45.38,24.48,0.00,0.00,67.61,67.61,67.61,65.86,65.86,65.43,45.38,24.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090310",98.00,95.61,81.63,32.38,29.03,28.42,12.97,0.00,0.00,0.00,98.00,95.61,81.63,32.38,29.03,28.42,12.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090415",99.99,99.99,95.45,91.53,90.48,86.61,76.73,66.44,0.15,0.15,99.90,99.90,94.94,89.87,88.21,83.39,70.48,34.91,63.06,63.06,63.06,63.06,63.06,63.06,63.06,63.06,0.00,0.00,0.15,0.15,0.15,0.15
"15090435",95.10,95.10,95.02,95.02,95.02,91.66,85.68,29.34,0.00,0.00,95.10,95.10,95.02,95.02,95.02,91.66,85.68,29.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15090445",91.35,91.35,91.35,89.64,89.10,86.31,11.50,3.48,0.00,0.00,91.35,91.35,91.35,89.64,89.10,86.31,11.50,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
