"AGS";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"08119004";99.12;98.32;90.96;85.57;83.20;82.23;39.23;39.23;30.31;1.33;99.12;98.32;90.96;84.73;82.36;81.14;26.17;25.28;28.99;28.99;28.99;28.99;28.99;28.99;28.99;28.99;28.99;0.00;1.33;1.33;1.33;1.33
"08119006";99.91;99.91;99.34;98.79;97.33;82.80;69.72;69.72;42.56;0.00;99.91;99.91;99.33;98.62;96.74;78.21;53.71;53.71;42.56;42.56;42.56;42.56;42.56;42.56;42.56;42.56;42.56;0.00;0.00;0.00;0.00;0.00
"08119008";99.03;98.45;96.14;95.23;93.90;92.33;85.61;85.61;78.40;0.00;98.83;98.12;95.63;93.25;83.85;75.55;56.41;56.41;78.40;78.40;78.40;78.40;78.40;78.40;78.40;78.40;78.40;0.00;0.00;0.00;0.00;0.00
"08119018";99.90;99.90;98.98;98.98;95.29;83.61;64.24;64.24;37.94;0.00;99.90;99.77;98.58;98.58;94.90;83.21;54.63;54.63;37.94;37.94;37.94;37.94;37.94;37.94;37.94;37.94;37.94;0.00;0.00;0.00;0.00;0.00
"08119020";99.99;99.99;99.26;96.31;92.51;89.90;81.66;81.66;72.98;0.00;99.99;99.99;99.26;94.51;84.52;71.87;54.36;54.36;72.98;72.98;72.98;72.98;72.98;72.98;72.98;72.98;72.98;0.00;0.00;0.00;0.00;0.00
"08119024";98.43;98.34;88.71;84.19;77.50;69.32;20.99;20.99;0.00;0.00;98.43;98.34;88.71;84.19;77.50;69.32;20.99;20.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"08119037";94.67;93.41;70.29;51.23;49.88;49.29;32.53;32.53;0.00;0.00;94.67;93.41;70.29;51.23;49.88;49.29;32.53;32.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"08119038";97.30;95.16;95.16;95.16;93.95;93.15;87.49;87.49;76.27;0.00;96.91;94.77;94.64;94.64;93.31;91.97;70.02;70.02;76.27;76.27;76.27;76.27;76.27;76.27;76.27;76.27;76.27;0.00;0.00;0.00;0.00;0.00
"08119041";100.00;100.00;99.92;98.55;92.62;89.70;85.49;85.49;80.31;0.00;99.99;99.99;99.68;95.39;87.78;82.72;53.74;53.74;80.31;80.31;80.31;80.31;80.31;80.31;80.31;80.31;80.31;0.00;0.00;0.00;0.00;0.00
"08119042";97.67;96.11;58.21;57.67;57.21;56.00;52.83;52.83;52.81;0.00;97.67;96.11;52.55;51.11;50.46;48.93;0.02;0.02;52.81;52.81;52.81;52.81;52.81;52.81;52.81;52.81;52.81;0.00;0.00;0.00;0.00;0.00
