"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"07232";98.64;98.57;96.92;86.22;79.25;73.22;55.18;39.05;14.58;14.58;98.64;98.57;96.92;86.22;78.86;72.83;53.54;34.54;14.39;14.39;14.39;14.39;14.39;14.39;14.39;14.39;14.39;14.39;0.20
"09577";98.66;98.64;97.93;94.06;90.05;87.92;81.09;53.99;21.24;4.14;97.10;96.91;95.47;87.51;82.74;76.09;67.17;33.16;58.82;58.82;58.82;58.82;58.82;58.82;58.82;36.01;17.18;0.00;4.14
"03357";98.69;98.35;96.78;95.13;88.35;63.45;37.46;36.72;34.37;23.87;95.62;95.02;91.42;82.65;69.73;44.19;12.24;7.98;24.63;24.63;24.63;24.63;24.63;24.63;24.63;24.63;22.56;8.62;22.13
"07340";98.70;98.29;98.04;95.74;92.63;87.47;80.27;74.89;44.89;36.09;96.84;95.87;93.85;83.75;78.50;76.25;67.51;58.38;25.26;25.26;25.26;25.26;25.26;25.26;25.26;25.26;18.90;7.30;29.69
"09377";98.71;97.86;96.87;95.71;95.50;93.51;86.58;62.89;24.14;13.94;98.08;97.55;96.39;88.13;85.77;83.16;74.99;50.35;58.21;58.21;58.21;58.21;58.21;58.21;58.21;33.13;10.24;0.00;13.94
"03351";98.72;96.01;94.03;90.28;87.42;81.82;58.79;46.19;34.63;30.24;94.39;93.86;89.84;84.50;81.44;75.51;54.26;36.06;34.63;34.63;34.63;34.63;34.63;34.63;34.63;34.63;34.63;30.24;0.00
"09371";98.73;98.21;98.02;96.22;94.34;90.99;75.73;55.65;52.45;30.35;94.34;92.12;90.85;87.39;84.92;81.57;69.57;41.89;35.37;35.37;35.37;35.37;35.37;35.37;35.37;35.37;35.37;12.08;18.42
"07235";98.73;97.99;95.17;88.17;82.39;78.72;54.15;39.64;22.46;22.46;96.95;96.38;91.93;80.79;74.77;70.83;47.40;28.00;22.07;22.07;22.07;22.07;22.07;22.07;22.07;22.07;22.07;22.07;0.39
"09181";98.75;98.69;97.56;93.21;90.10;85.98;58.83;48.68;13.00;13.00;96.69;96.62;93.00;84.57;84.14;82.13;49.03;32.93;33.80;33.80;33.80;33.80;33.80;33.80;33.80;33.80;2.48;2.48;10.52
"16066";98.76;98.53;95.84;89.13;84.89;75.91;52.87;31.31;11.02;0.23;98.08;98.06;94.61;87.84;82.29;74.74;51.47;25.40;10.79;10.79;10.79;10.79;10.79;10.79;10.79;10.79;10.79;0.00;0.23
"16052";98.77;97.70;87.55;73.38;68.89;68.87;57.63;48.17;42.14;4.68;97.54;96.05;81.62;62.43;62.09;62.08;46.56;25.63;41.12;41.12;41.12;41.12;41.12;41.12;41.12;41.12;41.12;3.65;1.03
"09272";98.78;98.76;97.70;96.33;93.27;88.74;74.50;47.69;42.28;42.28;97.09;97.04;94.64;91.27;85.23;80.81;65.88;32.45;31.52;31.52;31.52;31.52;31.52;31.52;31.52;31.52;31.52;31.52;11.88
"09477";98.78;98.78;98.78;98.66;96.96;96.28;90.23;76.39;53.24;21.34;98.78;98.78;98.78;98.10;95.87;94.02;81.38;55.15;60.16;60.16;60.16;60.16;60.16;60.16;60.16;58.21;36.17;0.00;21.34
"09279";98.78;98.78;91.29;87.95;86.60;79.57;68.41;47.32;34.78;34.78;98.76;98.76;88.37;77.79;76.39;69.95;57.80;30.58;32.64;32.64;32.64;32.64;32.64;32.64;32.64;32.64;32.64;32.64;2.99
"09278";98.78;98.66;97.94;94.24;91.23;86.15;73.12;41.51;25.23;16.75;96.77;96.56;94.61;91.07;89.50;85.25;69.71;37.47;9.75;9.75;9.75;9.75;9.75;9.75;9.75;9.75;9.75;0.35;16.40
"03355";98.79;98.71;97.90;94.29;93.26;91.26;80.81;77.00;64.72;27.17;97.56;97.48;88.72;84.05;78.47;74.57;59.60;46.57;48.48;48.48;48.48;48.48;48.48;48.48;48.48;48.48;48.48;10.93;16.23
"16064";98.79;98.77;97.49;93.14;89.78;79.02;56.91;28.19;15.15;5.79;96.08;96.04;90.71;82.95;75.80;74.60;51.60;16.31;21.39;21.39;21.39;21.39;21.39;21.39;21.39;14.53;14.53;5.16;0.66
"09273";98.81;98.17;98.16;97.56;95.42;93.37;87.03;67.62;54.54;35.64;98.60;98.06;97.76;94.46;91.66;89.29;81.63;48.14;45.39;45.39;45.39;45.39;45.39;45.39;45.39;45.39;36.16;15.32;20.43
"07133";98.83;97.93;92.52;90.28;88.17;80.22;57.58;48.56;15.27;0.30;97.27;96.03;87.80;83.68;80.05;73.37;50.26;36.60;25.28;25.28;25.28;25.28;25.28;25.28;25.28;25.28;15.27;0.30;0.00
"03353";98.83;98.75;98.58;94.31;91.23;86.36;72.49;66.31;58.67;31.03;96.58;96.32;94.04;83.97;82.05;76.49;54.96;36.04;38.40;38.40;38.40;38.40;38.40;38.40;38.40;38.40;38.40;0.17;30.86
"05962";98.84;98.27;93.89;83.29;76.07;73.66;60.23;50.37;42.90;9.67;98.37;97.73;85.59;67.04;64.68;61.61;48.85;29.34;42.26;42.26;42.26;42.26;42.26;42.26;42.26;42.26;42.26;8.08;1.59
"09185";98.86;97.03;94.09;84.40;75.43;69.96;52.62;39.60;32.98;32.98;95.21;91.88;80.54;62.97;60.39;58.03;43.43;23.57;25.16;25.16;25.16;25.16;25.16;25.16;25.16;25.16;25.16;25.16;7.81
"06531";98.86;98.78;98.41;97.71;95.08;92.73;76.71;55.02;28.46;3.34;98.70;98.70;97.69;96.97;94.06;91.89;74.27;44.96;27.48;27.48;27.48;27.48;27.48;27.48;27.48;27.48;27.48;1.81;1.53
"14524";98.90;96.20;91.30;85.68;79.82;78.29;63.87;41.69;14.27;9.77;95.63;94.13;88.52;79.06;75.09;72.36;58.77;32.30;8.38;8.38;8.38;8.38;8.38;8.38;8.38;8.38;5.95;0.55;9.22
"08127";98.90;98.54;95.15;90.84;86.76;84.95;72.12;60.97;47.17;3.35;98.10;97.61;88.18;83.32;77.83;74.92;58.96;41.20;44.74;44.74;44.74;44.74;44.74;44.74;44.74;44.74;44.74;0.00;3.35
"03461";98.93;98.72;96.78;93.64;90.89;86.12;61.79;59.66;48.89;35.39;98.02;97.81;93.80;77.49;68.45;60.97;20.81;8.50;52.37;52.37;52.37;52.37;52.37;52.37;52.37;52.37;42.60;28.96;7.40
"05974";98.95;98.57;96.58;90.57;79.18;76.88;63.77;52.09;40.43;8.93;98.10;96.63;92.96;73.89;68.89;65.36;48.63;31.24;39.70;39.70;39.70;39.70;39.70;39.70;39.70;39.70;39.70;7.92;1.02
"03451";98.97;98.86;97.07;93.91;90.77;74.00;52.12;36.70;28.91;28.91;97.05;96.77;91.50;84.28;74.65;58.44;31.82;13.41;36.21;36.21;36.21;36.21;36.21;36.21;36.21;20.42;13.68;13.68;17.73
"09471";99.02;98.87;98.19;97.20;94.16;91.61;69.97;46.41;33.53;33.53;98.25;98.25;95.39;93.86;90.30;88.24;61.94;28.08;14.71;14.71;14.71;14.71;14.71;14.71;14.71;14.71;14.71;14.71;21.10
"08315";99.02;98.86;97.90;95.08;92.77;89.30;69.84;50.07;31.25;8.38;98.47;98.11;96.96;93.80;90.90;86.00;62.56;35.19;23.81;23.81;23.81;23.81;23.81;23.81;23.81;23.81;23.81;0.00;8.38
"03255";99.03;99.02;98.29;92.01;85.10;77.94;66.57;49.79;21.62;18.64;99.03;98.90;98.07;88.90;80.82;73.03;55.42;30.76;44.41;44.41;44.41;44.41;44.41;44.41;44.41;44.41;21.62;18.64;0.00
"09675";99.03;99.03;98.13;94.50;93.80;90.79;74.52;47.35;29.46;10.96;98.32;98.32;97.39;94.25;93.28;90.06;70.92;35.29;19.94;19.94;19.94;19.94;19.94;19.94;19.94;19.94;19.94;0.00;10.96
