AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 8 Mbit/s;leitungsg. Technologien ≥ 10 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 8 Mbit/s;DSL ≥ 10 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 8 Mbit/s;CATV ≥ 10 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
09162021;99.90;99.90;99.90;99.90;99.90;99.90;99.88;99.88;99.85;99.51;99.09;98.89;99.90;99.90;99.90;99.90;99.87;99.69;99.05;99.05;98.24;92.40;98.87;98.87;98.87;98.87;98.87;98.87;98.87;98.87;98.87;98.87;98.87;98.87;15.49;15.46;14.83;11.58
09162022;99.99;99.89;99.85;99.85;99.82;99.75;98.42;98.37;97.86;96.34;93.59;93.43;99.89;99.81;99.56;99.54;99.38;98.85;94.77;94.55;93.35;84.02;89.31;89.31;89.31;89.31;89.31;89.31;89.31;89.31;89.31;89.31;89.31;89.31;19.75;19.75;18.82;18.59
09162023;100.00;100.00;99.99;99.96;99.96;99.79;98.69;98.55;97.19;96.26;94.63;94.58;99.93;99.93;99.69;99.69;99.66;98.22;93.84;93.22;90.70;74.17;94.56;94.56;94.56;94.56;94.56;94.56;94.56;94.56;94.56;94.56;94.56;94.52;1.39;1.39;1.39;1.39
09162024;99.97;99.97;99.97;99.97;99.97;99.97;97.85;97.84;96.69;93.84;88.99;88.94;99.90;99.90;99.90;99.90;99.90;99.90;97.85;97.53;95.32;83.92;88.78;88.78;88.78;88.78;88.78;88.78;88.78;88.78;88.78;88.78;88.78;88.78;23.22;23.22;23.00;21.87
09162025;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.48;99.43;98.93;95.18;93.62;100.00;100.00;100.00;100.00;100.00;100.00;99.56;99.03;96.60;93.03;93.39;93.39;93.39;93.39;93.39;93.39;93.39;93.39;93.39;93.39;93.39;93.39;43.48;43.37;42.32;30.79
09163000;99.99;99.99;99.99;99.98;99.98;99.93;99.93;99.93;99.82;99.72;98.76;98.76;99.86;99.86;99.86;99.59;99.43;99.14;97.45;97.22;95.54;87.88;98.76;98.76;98.76;98.76;98.76;98.76;98.76;98.76;98.76;98.76;98.76;98.76;0.17;0.17;0.17;0.17
09171111;100.00;100.00;100.00;99.85;99.82;99.71;98.60;98.60;98.02;97.08;97.08;97.08;100.00;100.00;100.00;99.85;99.70;99.21;97.82;97.82;96.10;80.93;94.60;94.60;94.60;94.60;94.60;94.60;94.60;94.60;94.60;94.60;94.60;94.60;5.90;5.41;5.41;5.41
09171112;99.73;99.73;99.73;99.73;99.70;99.62;97.10;97.10;96.78;92.87;89.59;89.59;98.77;98.77;98.77;98.77;98.75;98.23;96.67;96.30;95.06;75.11;89.48;89.48;89.48;89.48;89.48;89.48;89.48;89.48;89.48;89.26;89.26;89.26;2.07;2.07;2.07;2.07
09171113;99.22;98.59;98.28;96.71;96.65;95.99;94.20;93.75;91.70;74.36;73.05;73.05;99.22;98.38;94.78;92.08;90.67;64.45;61.28;60.39;50.37;32.57;73.05;73.05;73.05;73.05;73.05;73.05;73.05;73.05;73.05;69.60;69.60;69.60;5.86;5.86;5.86;5.86
09171114;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.87;99.87;38.08;16.70;9.38;6.98;6.96;6.26;2.56;2.56;0.00;0.00;99.87;99.87;99.87;99.87;99.87;99.87;99.87;99.87;99.87;99.87;99.87;99.87;7.20;7.20;0.00;0.00
09171115;95.12;95.12;95.12;95.12;94.51;92.68;92.68;92.68;90.24;31.71;31.71;31.71;95.12;95.12;95.12;95.12;94.51;92.68;92.68;92.68;90.24;31.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.71;31.71;31.71;31.71
09171116;96.08;96.08;96.08;96.08;96.08;96.08;96.08;64.19;58.82;43.14;43.14;30.59;93.49;78.67;58.98;58.98;58.98;58.98;49.04;17.15;5.88;0.00;43.14;43.14;43.14;43.14;43.14;43.14;43.14;43.14;43.14;43.14;43.14;30.59;19.61;0.00;0.00;0.00
09171117;100.00;100.00;100.00;99.67;99.67;99.67;99.67;99.34;98.33;91.59;86.60;5.71;100.00;100.00;100.00;99.67;99.67;99.25;99.25;98.92;97.23;80.47;86.03;86.03;86.03;86.03;86.03;86.03;86.03;86.03;86.03;86.03;82.28;0.00;6.16;5.71;5.71;5.71
09171118;96.59;96.59;96.59;96.59;96.59;96.59;96.59;96.59;96.59;94.32;94.32;94.32;45.60;37.85;31.40;31.40;31.40;31.40;31.40;31.40;28.11;21.50;79.55;79.55;79.55;79.55;79.55;79.55;79.55;79.55;79.55;79.55;79.55;79.55;20.45;20.45;20.45;20.45
09171119;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;55.94;55.94;55.94;37.59;34.84;30.49;8.75;8.75;8.75;6.58;6.58;0.00;0.00;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;47.83;0.00;0.00;0.00
09171121;98.24;98.24;97.46;96.68;96.55;95.90;92.77;92.77;79.69;66.41;66.41;66.41;91.99;91.21;87.82;87.04;85.93;82.35;75.32;73.76;59.11;27.11;47.66;47.66;47.66;47.66;47.66;47.66;47.66;47.66;47.66;47.66;47.66;47.66;31.71;27.97;27.97;27.97
09171122;97.89;97.89;97.89;97.89;97.89;97.89;97.89;97.89;97.89;70.53;70.44;56.35;96.84;94.74;91.58;91.58;90.49;81.57;59.30;59.30;54.15;41.82;70.44;70.44;70.44;70.44;70.44;70.44;70.44;70.44;70.44;70.44;70.44;56.35;31.58;0.00;0.00;0.00
09171123;95.38;95.38;95.38;95.38;95.34;94.62;89.44;88.21;87.95;87.95;87.95;87.95;95.38;95.38;95.38;95.38;95.31;87.83;81.85;79.85;73.82;65.76;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;13.65;13.65;13.65;13.65
09171124;100.00;100.00;100.00;98.61;98.47;96.46;92.22;92.20;89.90;67.55;45.84;45.84;100.00;100.00;100.00;97.35;97.21;96.46;91.19;89.88;85.19;47.35;45.84;45.84;45.84;45.84;45.84;45.84;45.84;45.84;45.84;45.84;45.84;45.84;0.78;0.78;0.78;0.78
09171125;100.00;100.00;99.85;99.39;99.39;99.13;96.91;96.91;94.93;91.46;85.40;85.40;98.95;98.95;98.80;98.34;98.25;97.72;95.41;95.20;86.62;67.55;84.12;84.12;84.12;84.12;84.12;84.12;84.12;84.12;84.12;84.12;84.12;84.12;2.21;2.21;2.21;2.21
09171126;98.00;98.00;98.00;98.00;98.00;98.00;98.00;98.00;96.00;54.81;14.81;14.81;98.00;98.00;98.00;98.00;98.00;98.00;98.00;98.00;96.00;54.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.81;14.81;14.81;14.81
09171127;98.51;98.51;98.51;97.76;97.76;97.76;92.54;91.79;79.93;30.52;0.54;0.54;98.51;98.51;98.51;97.76;97.76;97.76;92.54;91.79;79.93;30.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.54;0.54;0.54;0.54
09171129;100.00;100.00;100.00;99.15;99.15;99.15;98.31;98.31;85.59;62.66;4.24;4.24;100.00;100.00;100.00;99.15;99.15;99.15;98.31;98.31;85.59;62.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.24;4.24;4.24;4.24
09171130;100.00;100.00;100.00;100.00;100.00;100.00;96.30;96.30;92.59;92.59;92.59;92.59;100.00;100.00;66.19;66.00;65.83;62.30;50.86;37.37;14.86;5.15;92.59;92.59;92.59;92.59;92.59;92.59;92.59;92.59;92.59;92.59;92.59;92.59;4.40;4.40;4.40;4.40
