"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"06438010",100.00,99.91,99.91,99.91,99.91,99.91,99.70,99.70,98.09,92.67,87.50,2.38,100.00,99.91,99.91,99.91,99.91,99.91,99.70,99.70,97.74,85.79,87.41,87.41,87.41,87.41,87.41,87.41,87.41,87.41,87.41,87.41,87.41,0.00,2.38,2.38,2.38,2.38
"06438011",99.66,99.66,99.66,99.66,99.66,99.66,99.27,99.25,98.88,97.21,85.00,68.18,99.56,99.56,99.56,99.56,99.56,99.56,99.26,99.24,98.77,89.20,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,50.59,18.96,18.96,18.96,18.96
"06438012",99.81,99.81,99.81,99.75,99.75,99.75,99.39,99.29,99.05,93.62,70.38,55.72,99.81,99.81,99.81,99.75,99.75,99.75,99.37,99.29,98.18,86.29,47.01,47.01,47.01,47.01,47.01,47.01,47.01,47.01,47.01,47.01,47.01,30.40,28.13,28.13,28.13,28.13
"06438013",99.92,99.92,99.64,99.64,99.64,99.64,99.02,98.95,95.63,93.16,84.05,67.79,99.85,99.85,98.16,94.92,94.92,94.92,88.20,84.16,77.51,68.20,60.10,60.10,60.10,60.10,60.10,60.10,60.10,60.10,60.10,60.10,60.10,41.87,28.72,28.72,28.72,28.72
"06439001",100.00,100.00,100.00,100.00,99.81,98.42,94.81,94.81,94.35,91.80,87.44,78.38,77.76,74.33,49.92,49.38,48.80,40.92,31.49,31.49,25.59,17.42,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.44,87.44,78.38,0.00,0.00,0.00,0.00
"06439002",100.00,100.00,99.18,97.82,97.62,97.31,86.24,86.24,82.15,75.06,62.27,46.28,100.00,100.00,99.18,97.82,97.60,96.61,83.92,83.92,79.11,68.27,62.09,62.09,62.09,62.09,62.09,62.09,62.09,62.09,62.09,62.09,62.09,46.11,0.33,0.33,0.33,0.33
"06439003",99.80,99.80,99.75,99.58,99.51,99.19,98.86,98.85,97.91,96.13,81.21,2.38,99.61,99.61,99.16,99.06,98.96,98.45,97.69,97.27,94.93,88.02,80.54,80.54,80.54,80.54,80.54,80.54,80.54,80.54,80.54,80.54,80.54,0.00,2.38,2.38,2.38,2.38
"06439004",100.00,99.98,99.25,96.55,96.55,96.34,94.89,94.72,92.87,89.85,85.74,35.97,89.33,87.70,74.07,66.97,66.97,66.31,64.40,63.37,58.09,52.59,85.74,85.74,85.74,85.74,85.74,85.74,85.74,85.74,85.74,85.74,85.74,35.97,0.17,0.17,0.17,0.17
"06439005",94.52,94.25,94.25,90.72,90.72,90.65,87.32,86.20,78.30,59.52,42.62,39.71,94.52,94.25,94.25,90.72,90.72,90.65,87.32,86.20,76.87,52.57,41.52,41.52,41.52,41.52,41.52,41.52,41.52,41.52,41.52,41.52,41.52,38.61,1.10,1.10,1.10,1.10
"06439006",99.63,99.63,99.63,99.63,99.57,99.27,97.18,95.38,85.27,54.65,1.43,1.43,99.63,99.63,99.63,99.63,99.57,99.27,97.18,95.38,85.27,54.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,1.43,1.43,1.43
