"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"09674210";100;100;99;97;93;53;17.06;9.59;1.18;1.18;100;100;99;97;93;53;17.06;9.59;1.18;1.18;96.96;83.54;63.76;100;100;99;97;93;38;17.06;9.59;0;0;0;0;0;0;0;0;0;0;1.18;1.18;1.18;1.18
"09674219";100;100;100;99;89;35.67;23.69;23.69;23.62;23.62;100;100;99;96;89;35.67;23.69;23.69;23.62;23.62;100.00;100.00;100.00;100;100;99;96;89;35.67;23.69;23.69;0;0;0;0;0;0;0;0;0;0;23.62;23.62;23.62;23.62
"09674221";100;100;100;99.08;98.69;98.69;98.09;95.30;88.72;6;99.78;99.74;99.09;98.70;98.69;98.69;98.09;95.30;88.72;6;97.69;97.69;93.87;99.74;99.69;98.72;97.52;97.33;97.32;94.47;76.54;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;0;6;6;6;6
"09674223";100;100;96.55;93.57;92.68;61.41;42.76;34.83;0;0;100;100;96.46;93.57;92.68;61.41;42.76;34.83;0;0;18.30;18.30;18.30;100;100;96;93.57;92.68;61.41;42.76;34.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09675111";100;100;100;99;95.61;94.41;68.85;29.74;1;1;99;99;99;99;95.61;94.41;68.85;29.74;1;1;100.00;100.00;100.00;99;99;99;99;95.61;94.41;68.85;29.74;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"09675112";100;100;100;100;98.64;97;85.49;83.87;83.87;0;99;99;99;98.80;98.64;97;85.49;83.87;83.87;0;100.00;100.00;97.12;99;99;99;98.70;98.55;93;39.88;0;84;84;84;84;84;84;83.87;83.87;83.87;0;0;0;0;0
"09675113";100;100;99.43;99.23;98.28;90.13;57.55;34.47;2;0;99.23;99.23;99.23;99.23;98.28;90.13;57.55;34.47;2;0;100.00;99.80;70.12;99.23;99.23;99.23;99.23;98.28;90.13;55.99;32.91;2;2;2;2;2;2;2;2;2;0;0;0;0;0
"09675114";100;100;100;99;98;66.15;60.51;60.51;60.51;3.19;99;99;99;98.08;98;66.15;60.51;60.51;60.51;3.19;100.00;100.00;100.00;99;99;98;98;97.15;31.11;4.09;3.48;60.51;60.51;60.51;60.51;60.51;60.51;60.51;60.51;60.51;0;3.19;3.19;3.19;3.19
"09675116";100;100;100;99;97.21;95.50;68.33;3.53;3.52;3.52;99.14;99.14;99.14;99;97.21;95.50;68.33;3.53;3.52;3.52;84.90;82.91;67.52;99.14;99.14;99.14;99;97.21;95.50;68.33;3.53;0;0;0;0;0;0;0;0;0;0;3.52;3.52;3.52;3.52
"09675117";100;100;100;98;98;98;44.82;7.62;1.50;1.50;99;99;99;98;98;98;44.82;7.62;1.50;1.50;95.56;95.56;94.74;90;83;70;66;61.40;60.89;44.82;7.62;91;91;91;91;91;91;0;0;0;0;1.50;1.50;1.50;1.50
