"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000"
"06533";99.21;98.94;97.99;96.31;92.57;85.87;51.84;51.84;35.71;0.00;99.16;98.89;97.88;96.02;91.32;82.60;38.10;38.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.71;35.71;35.71;35.71;35.71;35.71;35.71;35.71;35.71;0.00
"06534";99.11;98.66;97.98;97.09;92.60;88.08;53.15;53.15;43.91;0.00;99.05;98.60;97.83;96.66;90.54;80.57;29.28;29.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;43.91;43.91;43.91;43.91;43.91;43.91;43.91;43.91;43.91;0.00
"06535";91.04;88.07;78.57;68.16;65.70;63.52;41.87;41.87;35.83;0.00;87.67;84.51;74.30;59.43;56.12;52.22;11.30;11.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.83;35.83;35.83;35.83;35.83;35.83;35.83;35.83;35.83;0.00
"06611";99.98;99.98;99.13;98.12;95.69;91.64;76.85;76.85;74.25;0.04;99.96;99.96;99.04;97.32;90.29;74.72;24.38;24.32;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;74.25;74.25;74.25;74.25;74.25;74.25;74.25;74.25;74.25;0.00
"06631";99.50;99.26;98.04;97.10;95.26;89.88;71.49;71.49;60.06;0.00;99.07;98.69;96.87;95.56;90.68;78.93;39.31;39.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.06;60.06;60.06;60.06;60.06;60.06;60.06;60.06;60.06;0.00
"06632";96.76;94.42;86.33;75.85;74.25;72.43;55.27;55.27;49.91;0.00;94.59;91.78;82.15;71.32;66.23;59.32;13.15;13.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;49.91;49.91;49.91;49.91;49.91;49.91;49.91;49.91;49.91;0.00
"06633";93.61;89.09;74.52;59.94;57.54;54.37;37.94;37.94;32.40;0.00;92.89;87.89;71.91;55.21;50.59;44.20;13.30;13.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.40;32.40;32.40;32.40;32.40;32.40;32.40;32.40;32.40;0.00
"06634";93.14;90.28;71.55;52.70;50.49;47.56;34.55;34.53;29.56;0.01;92.95;90.07;70.62;49.94;46.94;41.74;13.34;13.32;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;29.55;29.55;29.55;29.55;29.55;29.55;29.55;29.55;29.55;0.00
"06635";97.13;95.52;89.43;82.73;80.52;77.78;64.41;64.41;58.96;0.00;95.11;93.13;85.39;77.60;72.56;66.92;27.90;27.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.96;58.96;58.96;58.96;58.96;58.96;58.96;58.96;58.96;0.00
"06636";94.15;91.65;79.96;68.79;66.68;63.56;53.37;53.37;48.72;0.13;91.98;88.92;76.77;63.70;58.30;49.69;12.80;12.80;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;48.61;48.61;48.61;48.61;48.61;48.61;48.61;48.61;48.61;0.00
"07111";99.59;99.20;94.71;93.05;91.53;90.48;81.98;81.98;69.76;0.00;99.49;99.03;93.70;88.16;85.19;83.62;65.93;65.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;69.76;69.76;69.76;69.76;69.76;69.76;69.76;69.76;69.76;0.00
"07131";90.80;87.39;73.49;61.49;60.29;58.12;45.57;45.56;29.55;0.01;90.71;87.30;73.15;57.68;55.63;52.83;33.44;33.43;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;37.24;37.24;37.24;37.24;37.24;37.24;37.24;37.24;29.55;0.00
"07132";99.00;98.45;95.10;82.97;77.99;68.04;34.98;17.30;2.75;0.00;97.93;96.63;90.78;72.71;66.51;55.54;13.64;13.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.87;28.87;28.87;28.87;28.87;28.87;28.87;7.28;2.75;0.00
"07133";93.18;91.49;83.83;77.36;75.27;70.42;59.39;55.81;24.55;0.00;91.48;89.43;78.98;65.90;62.56;56.61;33.66;27.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47.70;47.70;47.70;47.70;47.70;47.70;47.70;47.70;24.55;0.00
"07134";90.75;87.78;73.91;60.77;58.41;57.66;43.02;43.02;28.43;0.09;90.48;87.19;71.37;54.85;51.84;49.41;18.92;18.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36.64;36.64;36.64;36.64;36.64;36.64;36.64;36.64;28.43;0.09
"07135";85.86;78.17;58.59;40.62;37.69;33.17;21.13;21.13;15.17;0.02;85.71;77.30;55.37;33.45;30.40;25.67;6.52;6.52;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;15.17;15.17;15.17;15.17;15.17;15.17;15.17;15.17;15.17;0.00
"07137";94.88;93.37;84.68;78.25;75.81;72.81;58.32;58.32;49.66;0.00;94.68;93.00;82.84;70.88;64.90;57.46;24.36;24.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50.82;50.82;50.82;50.82;50.82;50.82;50.82;50.82;49.66;0.00
"07138";98.38;97.80;92.30;86.10;83.61;80.33;53.30;53.09;43.51;0.01;97.17;96.23;89.85;82.91;77.15;71.45;23.13;23.13;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;44.89;44.89;44.89;44.89;44.89;44.88;44.88;44.63;43.51;0.00
"07140";87.47;85.16;71.91;61.88;59.64;55.89;46.22;26.45;13.50;0.00;84.72;81.22;62.64;39.26;32.68;25.56;4.12;4.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;43.28;43.28;43.28;43.28;43.28;43.28;43.28;22.66;13.50;0.00
"07141";89.83;87.92;82.20;74.70;73.07;71.53;56.65;52.89;32.16;0.20;88.77;86.55;78.35;65.46;59.44;53.45;10.73;10.73;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;51.37;51.37;51.37;51.37;51.37;51.37;51.37;47.25;31.96;0.00
"07143";89.97;87.53;79.17;74.74;73.72;72.28;60.97;46.04;24.78;0.01;80.58;75.66;59.56;50.78;48.83;46.91;19.96;19.95;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;53.02;53.02;53.02;53.02;53.02;53.02;53.02;37.46;24.77;0.00
"07211";99.92;99.84;99.48;97.38;93.00;89.49;81.05;81.05;73.13;73.13;99.90;99.82;99.24;95.98;83.43;72.26;45.05;45.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;73.13;73.13;73.13;73.13;73.13;73.13;73.13;73.13;73.13;73.13
"07231";89.19;85.32;68.26;54.65;52.67;49.96;34.62;34.62;25.19;0.00;88.75;84.87;67.53;53.43;50.79;46.82;16.19;16.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.19;25.19;25.19;25.19;25.19;25.19;25.19;25.19;25.19;0.00
"07232";96.33;95.27;90.49;76.37;69.14;62.49;21.19;19.63;10.34;10.34;96.32;95.26;90.45;76.12;68.81;62.08;18.56;16.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.34;10.34;10.34;10.34;10.34;10.34;10.34;10.34;10.34;10.34
"07233";88.88;84.96;63.40;42.77;39.70;37.11;18.57;17.71;8.14;0.00;88.88;84.96;63.24;41.50;38.40;35.80;12.89;12.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.14;8.14;8.14;8.14;8.14;8.14;8.14;8.14;8.14;0.00
"07235";91.35;88.62;74.88;64.05;61.80;58.38;38.73;38.73;26.29;26.14;91.18;88.22;73.10;59.31;55.67;50.87;24.39;24.39;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;26.27;26.27;26.27;26.27;26.27;26.27;26.27;26.27;26.27;26.12
"07311";99.97;99.97;99.90;99.60;99.06;97.82;94.08;94.08;8.51;0.20;99.96;99.96;99.87;97.20;94.96;91.45;73.16;73.16;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;90.87;90.87;90.87;90.87;90.87;90.87;90.87;90.87;8.31;0.00
"07312";98.42;97.75;96.45;94.53;93.70;92.78;86.56;86.56;74.49;0.00;98.29;97.31;92.74;75.02;71.25;65.98;24.82;24.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;85.43;85.43;85.43;85.43;85.43;85.43;85.43;85.43;74.49;0.00
