"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"16061115",99.80,99.80,99.68,98.75,97.21,91.13,70.50,57.27,6.98,6.98,99.80,99.80,99.68,97.21,97.21,91.13,67.86,47.65,29.76,29.76,29.76,29.76,29.76,29.76,29.76,29.76,0.00,0.00,6.98
"08226032",99.80,97.89,92.75,89.64,88.04,82.89,66.06,45.53,36.08,32.14,98.64,97.73,92.65,89.64,87.01,78.87,50.27,21.18,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,0.00,32.14
"08335099",99.80,96.20,89.95,87.24,87.24,87.24,82.73,82.73,80.73,0.00,56.93,54.39,41.03,41.03,41.03,41.03,22.96,5.87,80.73,80.73,80.73,80.73,80.73,80.73,80.73,80.73,80.73,0.00,0.00
"09275114",99.80,99.80,99.80,87.80,84.00,74.66,54.04,0.78,0.00,0.00,96.00,96.00,96.00,86.03,84.00,74.66,54.04,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"09471117",99.80,99.80,99.80,98.34,98.34,92.24,37.05,37.05,37.05,37.05,96.08,96.08,96.08,90.20,90.20,88.51,4.39,0.00,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,33.19
"09274111",99.80,99.80,99.80,99.80,96.00,96.00,93.32,62.32,23.63,23.63,96.00,96.00,96.00,96.00,96.00,96.00,93.32,62.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.63
"03351006",99.81,99.63,99.56,98.90,96.84,92.04,72.59,62.11,49.57,49.57,99.64,99.27,98.72,98.72,96.66,91.83,68.15,48.89,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,0.00
"12053000",99.81,99.77,96.95,91.00,88.68,84.86,72.43,64.95,15.47,0.00,99.31,99.31,91.67,87.98,85.15,81.07,58.40,41.09,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,15.47,0.00,0.00
"14730250",99.81,99.81,99.58,99.58,99.50,97.62,72.73,36.25,3.77,3.77,99.58,99.58,99.58,99.58,99.50,97.62,72.73,34.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77
"10043113",99.81,99.81,99.81,99.62,95.96,52.34,37.46,25.92,18.23,18.23,98.33,95.15,84.62,76.92,76.92,34.07,19.23,7.69,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,0.00
"07138045",99.81,99.76,99.41,99.40,97.87,95.96,72.52,45.54,36.47,10.14,99.09,99.04,98.68,98.45,97.06,94.19,70.79,33.24,36.47,36.47,36.47,36.47,36.47,36.47,36.47,36.47,36.47,10.14,0.00
"09565000",99.81,99.81,99.71,99.54,99.04,99.04,90.16,76.82,27.58,27.58,99.81,99.81,99.54,98.78,98.29,98.29,87.49,70.60,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,0.07
"06634022",99.81,98.04,78.52,71.09,71.09,70.67,52.12,46.03,32.35,0.00,97.59,97.59,74.96,71.09,71.09,70.67,52.04,37.98,32.35,32.35,32.35,32.35,32.35,32.35,32.35,32.35,32.35,0.00,0.00
"08435057",99.82,96.60,91.34,91.34,87.81,86.99,86.00,78.56,72.73,2.94,96.84,96.60,91.34,91.34,87.81,83.95,75.37,34.68,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,0.00,2.94
"05566040",99.82,99.28,91.63,55.99,50.60,50.36,40.82,40.07,40.07,0.00,99.28,99.28,56.79,39.46,38.55,33.07,19.83,4.85,40.07,40.07,40.07,40.07,40.07,40.07,40.07,40.07,40.07,0.00,0.00
"09471145",99.82,99.22,99.22,97.97,95.10,92.59,56.97,32.17,31.25,31.25,96.58,96.58,96.58,96.58,95.10,92.59,52.35,12.56,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,2.78
"09188120",99.82,99.82,99.82,94.64,92.86,92.86,92.86,92.86,92.86,92.86,96.43,96.43,96.43,94.64,92.86,92.86,92.86,78.04,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,0.00
"08235006",99.82,90.69,71.76,50.67,50.67,49.71,41.77,41.77,41.77,0.00,97.22,85.87,62.04,31.31,24.86,22.51,13.92,1.37,41.77,41.77,41.77,41.77,41.77,41.77,41.77,41.77,41.77,0.00,0.00
"03402000",99.82,98.18,97.71,92.04,83.09,77.62,61.63,58.18,51.29,0.00,98.24,96.41,91.81,77.16,68.51,60.32,31.60,16.30,51.29,51.29,51.29,51.29,51.29,51.29,51.29,51.29,51.29,0.00,0.00
"09176138",100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.16,6.25,6.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25
"09272151",99.82,99.82,99.82,97.53,95.44,79.82,78.65,68.06,68.06,68.06,97.35,97.35,97.35,85.64,64.55,50.47,47.51,26.51,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,6.20
"09183113",99.82,96.43,96.43,96.43,96.43,96.43,93.61,77.16,62.24,62.24,96.43,96.43,96.43,96.43,96.43,96.43,93.14,72.80,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.00,0.00,62.24
"09775129",99.82,99.73,99.73,97.74,88.07,86.02,84.40,77.05,75.81,75.81,96.95,96.95,96.95,78.33,74.59,69.01,61.32,36.99,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,11.25
"13072030",99.82,99.82,96.30,96.30,94.16,94.16,83.67,60.15,27.20,0.00,96.30,96.30,96.30,96.30,94.16,94.16,83.21,44.95,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,0.00,0.00
"05962020",99.82,99.82,94.17,86.39,85.84,85.84,50.08,33.58,1.52,1.52,96.30,96.30,66.67,59.26,59.26,59.26,50.08,33.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52
"09771112",99.82,96.49,96.49,96.49,96.49,96.49,94.00,84.51,13.06,13.06,96.49,96.49,96.49,96.49,96.49,96.49,94.00,84.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06
"14729010",99.82,99.82,99.82,96.41,93.28,85.11,54.05,35.39,0.97,0.97,98.83,98.83,98.83,79.53,76.40,68.24,54.05,35.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97
