"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"12068468",100.00,100.00,100.00,100.00,99.87,98.59,90.11,89.92,88.05,72.51,52.97,52.97,100.00,100.00,100.00,100.00,99.87,98.59,90.11,89.92,87.61,40.48,45.28,45.28,45.28,45.28,45.28,45.28,45.28,45.28,45.28,45.28,30.82,30.82,22.15,22.15,22.15,22.15
"12068477",100.00,100.00,100.00,100.00,100.00,100.00,95.24,95.24,95.24,61.90,42.86,42.86,100.00,100.00,100.00,100.00,100.00,100.00,95.24,95.24,95.24,61.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,42.86,42.86,42.86
"12068501",100.00,100.00,100.00,100.00,100.00,100.00,91.67,91.67,77.78,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,91.67,91.67,77.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069017",96.13,96.13,96.13,96.13,96.13,96.13,87.38,87.38,66.11,26.22,13.73,13.18,96.13,96.13,96.13,96.13,96.13,96.13,87.38,87.38,65.02,20.98,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,7.50,6.96,6.23,6.23,6.23,6.23
"12069018",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.82,84.21,10.53,10.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.82,84.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,10.53,10.53,10.53
"12069019",100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069020",100.00,100.00,100.00,98.70,98.70,98.70,86.19,86.19,77.99,35.37,14.29,14.29,100.00,100.00,100.00,98.70,98.70,98.70,86.19,86.19,77.99,35.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,14.29,14.29
"12069028",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069052",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.48,28.57,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.48,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069076",100.00,100.00,100.00,98.86,98.86,95.45,95.45,90.34,90.34,40.91,18.18,18.18,100.00,100.00,100.00,98.86,98.86,95.45,95.45,90.34,90.34,40.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,18.18,18.18,18.18
"12069089",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069216",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069224",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,78.18,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,78.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069232",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,80.00,80.00
"12069249",93.33,93.33,93.33,93.33,93.33,93.33,73.33,73.33,51.87,43.56,9.91,9.91,93.33,93.33,93.33,93.33,93.33,93.33,68.76,68.76,51.87,43.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.91,9.91,9.91,9.91
"12069270",100.00,100.00,100.00,86.50,84.70,81.05,81.05,81.05,50.00,25.00,0.00,0.00,100.00,100.00,100.00,62.75,60.95,57.30,57.30,57.30,50.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"12069304",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.64,64.43,26.17,4.09,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.64,43.09,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,4.09,0.00,0.00,0.00,0.00
