"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"13071";"5G2";Wasserstraßen;30;Infrastruktur;35.01
"13071";"5G2";Wohnbaufläche;20;Gemeindefläche;82.12
"13071";LTE10;Autobahn;30;Infrastruktur;100.00
"13071";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"13071";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"13071";LTE10;Gewässer;20;Gemeindefläche;100.00
"13071";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13071";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"13071";LTE10;Landstraßen;30;Infrastruktur;100.00
"13071";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13071";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13071";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"13071";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"13071";LTE2;Autobahn;30;Infrastruktur;100.00
"13071";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"13071";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"13071";LTE2;Gewässer;20;Gemeindefläche;100.00
"13071";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13071";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"13071";LTE2;Landstraßen;30;Infrastruktur;100.00
"13071";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13071";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13071";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"13071";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"13071";LTE6;Autobahn;30;Infrastruktur;100.00
"13071";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"13071";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"13071";LTE6;Gewässer;20;Gemeindefläche;100.00
"13071";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13071";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"13071";LTE6;Landstraßen;30;Infrastruktur;100.00
"13071";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13071";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13071";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"13071";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"13071";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"13071";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"13071";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"13071";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"13071";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
