"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"10046";97;97;95;91;82;66;96;96;95;0;0;0;100;99;99;91;82;66;95;94;89;81;57;36;0;0;0;0;0;0;38;38;38;38;38;38;0;0;0;0;0;0;85;57;96;96;95;0;0;0;0;0;0;0;0;0;0;0;0
"11000";100;100;100;99;96;94;100;100;100;0;0;0;100;100;100;99;96;94;100;100;99;98;87;69;1;1;1;1;1;1;89;89;89;89;89;89;0;0;0;0;0;0;100;45;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0
"12051";98;97;93;82;76;74;100;99;99;2;0;0;100;100;99;84;76;74;97;96;86;67;51;48;0;0;0;0;0;0;63;63;63;63;63;63;0;0;0;0;0;0;98;46;99;99;98;2;2;2;2;0;0;0;0;0;0;0;0
"12052";100;100;100;99;97;96;100;100;100;8;0;0;100;100;100;99;97;96;100;100;99;98;88;81;0;0;0;0;0;0;89;89;89;86;86;86;0;0;0;0;0;0;99;47;100;100;100;8;8;8;8;0;0;0;0;0;0;0;0
"12053";99;99;95;89;79;78;100;93;74;0;0;0;100;100;98;89;79;78;99;98;87;64;18;14;0;0;0;0;0;0;77;77;77;77;77;77;0;0;0;0;0;0;99;50;89;89;74;0;0;0;0;0;0;0;0;0;0;0;0
"12054";100;100;100;99;97;95;100;100;100;0;0;0;100;100;100;99;97;95;100;100;100;96;86;69;28;28;28;28;28;28;81;81;81;81;81;81;0;0;0;0;0;0;100;54;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0
"12060";94;94;93;89;81;67;98;97;96;2;0;0;99;99;99;91;81;67;94;94;92;85;70;52;1;1;1;1;1;1;35;35;35;35;35;28;0;0;0;0;0;0;92;47;97;97;96;2;2;2;2;0;0;2;2;1;0;0;0
"12061";95;94;91;85;78;68;98;98;96;1;0;0;99;99;99;86;78;68;95;93;90;83;74;60;3;3;3;3;3;3;30;30;30;30;30;30;0;0;0;0;0;0;80;45;98;98;95;1;1;1;1;0;0;0;0;0;0;0;0
"12062";94;93;90;81;68;38;96;95;94;39;0;0;99;99;99;89;68;38;93;91;88;77;64;32;12;12;12;12;12;12;5;5;5;5;5;5;0;0;0;0;0;0;71;38;92;92;89;22;22;21;16;0;0;29;29;29;22;0;0
"12063";97;96;94;89;82;74;98;98;96;1;0;0;99;99;99;90;82;74;97;96;94;87;77;63;8;8;8;8;8;8;49;49;49;49;49;49;0;0;0;0;0;0;89;50;98;98;96;1;1;1;1;0;0;0;0;0;0;0;0
"12064";94;93;89;84;74;64;96;95;92;3;0;0;99;99;97;85;74;64;94;93;88;82;72;60;0;0;0;0;0;0;19;19;19;19;19;19;0;0;0;0;0;0;78;37;93;93;91;3;3;3;3;0;0;6;6;6;0;0;0
"12065";98;98;97;92;85;72;99;99;97;0;0;0;100;100;99;92;85;72;98;98;96;89;77;57;5;5;5;5;5;5;42;42;42;42;41;41;0;0;0;0;0;0;90;55;98;98;97;15;15;15;0;0;0;0;0;0;0;0;0
