AGS,year,n_rows,prev_year_max,next_year_max,dropped
07232032,2013,3,2,5.26,TRUE
07232032,2017,3,4.35,10.53,FALSE
07232032,2019,71,10.53,100,FALSE
07232033,2011,2,1,1,TRUE
07232038,2010,2,NA,4,TRUE
07232042,2010,2,NA,0,TRUE
07232042,2011,2,0,0,TRUE
07232042,2012,2,0,41.94,TRUE
07232046,2010,2,NA,97,TRUE
07232047,2010,2,NA,0,TRUE
07232047,2011,2,0,13,TRUE
07232054,2010,2,NA,0,TRUE
07232054,2011,2,0,0,TRUE
07232054,2012,2,0,53.85,TRUE
07232057,2010,2,NA,0,TRUE
07232057,2011,2,0,23,TRUE
07232064,2010,2,NA,0,TRUE
07232064,2011,2,0,0,TRUE
07232064,2012,2,0,15.34,TRUE
07232069,2010,2,NA,4,TRUE
07232085,2010,2,NA,0,TRUE
07232085,2011,2,0,0,TRUE
07232085,2012,2,0,4.17,TRUE
07232089,2010,2,NA,0,TRUE
07232089,2011,2,0,0,TRUE
07232089,2012,2,0,57.89,TRUE
07232090,2010,2,NA,0,TRUE
07232090,2011,2,0,0,TRUE
07232090,2012,2,0,93.33,TRUE
07232096,2010,2,NA,0,TRUE
07232096,2011,2,0,0,TRUE
07232096,2012,2,0,100,TRUE
07232116,2010,2,NA,0,TRUE
07232116,2011,2,0,7,TRUE
07232116,2013,3,7,0,TRUE
07232116,2014,3,0,0,TRUE
07232116,2015,3,0,50,FALSE
07232118,2010,2,NA,36,TRUE
07232120,2010,2,NA,19,TRUE
07232127,2010,2,NA,0,TRUE
07232127,2011,2,0,0,TRUE
07232127,2012,2,0,9.09,TRUE
07232128,2011,2,70,15,TRUE
07232129,2010,2,NA,99,TRUE
07232131,2010,2,NA,2,TRUE
07232211,2010,2,NA,11,TRUE
07232212,2010,2,NA,0,TRUE
07232212,2011,2,0,0,TRUE
07232212,2012,2,0,23.49,TRUE
07232214,2010,2,NA,0,TRUE
07232214,2011,2,0,0,TRUE
07232214,2012,2,0,0.97,TRUE
07232217,2010,2,NA,3,TRUE
07232221,2010,2,NA,2,TRUE
07232246,2010,2,NA,0,TRUE
07232246,2011,2,0,32,TRUE
07232249,2011,2,6,86,TRUE
07232261,2010,2,NA,0,TRUE
07232261,2011,2,0,57,TRUE
07232266,2010,2,NA,0,TRUE
07232266,2011,2,0,1,TRUE
07232270,2010,2,NA,0,TRUE
07232270,2011,2,0,38,TRUE
07232285,2011,2,43,26,TRUE
