AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
13072102;60;60;15;15;15;15;84;84;84;0;0;0
03360003;97;97;76;75;68;55;100;100;100;0;0;0
01057043;100;100;100;99;98;97;97;97;90;0;0;0
01061089;100;100;100;100;100;100;88;88;88;0;0;0
06431003;100;100;100;100;99;96;99;99;98;0;0;0
07137227;98;98;98;98;98;98;100;100;100;0;0;0
09475168;97;96;95;91;91;35;98;98;97;0;0;0
07140070;59;59;59;59;59;59;73;73;73;0;0;0
03256013;84;81;66;54;54;54;99;99;96;0;0;0
07339026;100;100;96;96;94;93;100;100;40;0;0;0
07143036;84;84;84;84;84;84;100;100;100;0;0;0
01061018;96;96;91;91;91;91;87;87;68;0;0;0
07336097;84;83;83;83;83;58;22;22;22;0;0;0
09475113;97;97;96;94;92;48;100;100;98;0;0;0
15082180;94;92;82;62;61;61;100;100;100;99;0;0
09773119;98;98;98;97;72;17;100;100;100;0;0;0
09179137;99;99;97;95;92;75;100;100;98;0;0;0
09274146;97;96;95;90;88;84;81;68;65;0;0;0
09171130;94;94;87;86;85;85;71;71;71;0;0;0
07135057;100;100;99;99;96;94;100;100;99;0;0;0
09678164;95;94;93;93;93;90;100;100;100;99;0;0
03256021;98;98;97;97;97;97;100;100;100;0;0;0
07135021;100;100;100;100;100;94;95;95;77;0;0;0
06438011;100;100;100;99;95;93;100;100;99;0;0;0
07232282;98;98;98;76;60;33;100;100;100;0;0;0
09677164;99;99;99;99;98;32;100;100;100;0;0;0
12064336;100;100;97;96;96;96;100;100;97;0;0;0
09171131;100;99;99;98;91;75;100;100;95;0;0;0
16075131;99;98;87;73;51;21;98;98;96;0;0;0
09375114;92;92;91;84;81;70;89;89;87;0;0;0
09672456;0;0;0;0;0;0;4;4;4;0;0;0
09177122;97;97;96;96;96;96;89;89;89;0;0;0
01058107;100;100;99;99;98;98;100;100;100;59;0;0
07233074;95;95;91;91;91;84;100;100;46;0;0;0
01055002;53;41;6;6;6;3;100;100;100;3;0;0
14626170;97;97;96;89;62;11;95;95;95;0;0;0
03357032;94;94;94;91;80;58;58;58;47;0;0;0
13073043;98;97;96;83;62;47;91;91;88;0;0;0
